This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Exports 	 Date of Information
1 	 World 	 $    6,600,000,000,000 	 2002 est.
2 	 United States 	 $     687,000,000,000 	 2002 est.
3 	 Germany 	 $     608,000,000,000 	 2002 est.
4 	 Japan 	 $     383,800,000,000 	 2002 est.
5 	 China 	 $     325,600,000,000 	 2002 est.
6 	 France 	 $     307,800,000,000 	 2002
7 	 United Kingdom 	 $     286,300,000,000 	 2002
8 	 Canada 	 $     260,500,000,000 	 2002 est.
9 	 Italy 	 $     259,200,000,000 	 2002 est.
10 	 Netherlands 	 $     243,300,000,000 	 2002
11 	 Hong Kong 	 $     200,300,000,000 	 2002 est.
12 	 Korea, South 	 $     162,600,000,000 	 2002 est.
13 	 Belgium 	 $     162,000,000,000 	 2002 est.
14 	 Mexico 	 $     158,400,000,000 	 2002 est.
15 	 Taiwan 	 $     130,000,000,000 	 2002 est.
16 	 Singapore 	 $     127,000,000,000 	 2002 est.
17 	 Spain 	 $     122,200,000,000 	 2002 est.
18 	 Russia 	 $     104,600,000,000 	 2002 est.
19 	 Switzerland 	 $     100,300,000,000 	 2002 est.
20 	 Malaysia 	 $      95,200,000,000 	 2002 est.
21 	 Ireland 	 $      86,600,000,000 	 2002 est.
22 	 Sweden 	 $      80,600,000,000 	 2002 est.
23 	 Saudi Arabia 	 $      71,000,000,000 	 2001
24 	 Austria 	 $      70,000,000,000 	 2001
25 	 Norway 	 $      68,200,000,000 	 2002 est.
26 	 Thailand 	 $      67,700,000,000 	 2002 est.
27 	 Australia 	 $      66,300,000,000 	 2002 est.
28 	 Brazil 	 $      59,400,000,000 	 2002 est.
29 	 Denmark 	 $      56,300,000,000 	 2002 est.
30 	 Indonesia 	 $      52,300,000,000 	 2002 est.
31 	 Puerto Rico 	 $      46,900,000,000 	 2001
32 	 United Arab Emirates 	 $      44,900,000,000 	 2002 est.
33 	 India 	 $      44,500,000,000 	 2001
34 	 Czech Republic 	 $      40,800,000,000 	 2002
35 	 Finland 	 $      40,100,000,000 	 2002
36 	 Philippines 	 $      35,100,000,000 	 2002
37 	 Turkey 	 $      35,100,000,000 	 2002
38 	 Poland 	 $      32,400,000,000 	 2002 est.
39 	 South Africa 	 $      31,800,000,000 	 2002 est.
40 	 Hungary 	 $      31,400,000,000 	 2002 est.
41 	 Venezuela 	 $      28,600,000,000 	 2001
42 	 Israel 	 $      28,100,000,000 	 2002 est.
43 	 Portugal 	 $      25,900,000,000 	 2001
44 	 Argentina 	 $      25,300,000,000 	 2002
45 	 Iran 	 $      24,800,000,000 	 2002 est.
46 	 Algeria 	 $      19,500,000,000 	 2002 est.
47 	 Ukraine 	 $      18,100,000,000 	 2002 est.
48 	 Chile 	 $      17,800,000,000 	 2002 est.
49 	 Nigeria 	 $      17,300,000,000 	 2002 est.
50 	 Vietnam 	 $      16,500,000,000 	 2002 est.
51 	 Kuwait 	 $      16,000,000,000 	 2002 est.
52 	 New Zealand 	 $      15,000,000,000 	 2002 est.
53 	 Romania 	 $      13,700,000,000 	 2002 est.
54 	 Iraq 	 $      13,000,000,000 	 2002 est.
55 	 Colombia 	 $      12,900,000,000 	 2002 est.
56 	 Slovakia 	 $      12,900,000,000 	 2002 est.
57 	 Greece 	 $      12,600,000,000 	 2002
58 	 Libya 	 $      11,800,000,000 	 2002 est.
59 	 Qatar 	 $      10,900,000,000 	 2002 est.
60 	 Oman 	 $      10,600,000,000 	 2002 est.
61 	 Kazakhstan 	 $      10,300,000,000 	 2002 est.
62 	 Slovenia 	 $      10,300,000,000 	 2002
63 	 Luxembourg 	 $      10,100,000,000 	 2002
64 	 Pakistan 	 $       9,800,000,000 	 FY02/03 est.
65 	 Angola 	 $       8,600,000,000 	 2002 est.
66 	 Belarus 	 $       7,700,000,000 	 2002
67 	 Peru 	 $       7,600,000,000 	 2002 est.
68 	 Morocco 	 $       7,500,000,000 	 2002 est.
69 	 Egypt 	 $       7,000,000,000 	 2002 est.
70 	 Tunisia 	 $       6,800,000,000 	 2002 est.
71 	 Bangladesh 	 $       6,200,000,000 	 2002
72 	 Syria 	 $       6,200,000,000 	 2002 est.
73 	 Bahrain 	 $       5,800,000,000 	 2002
74 	 Panama 	 $       5,800,000,000 	 2002 est.
75 	 Lithuania 	 $       5,400,000,000 	 2002 est.
76 	 Bulgaria 	 $       5,300,000,000 	 2002 est.
77 	 Dominican Republic 	 $       5,300,000,000 	 2002 est.
78 	 Costa Rica 	 $       5,100,000,000 	 2002
79 	 Ecuador 	 $       4,900,000,000 	 2002 est.
80 	 Croatia 	 $       4,900,000,000 	 2002
