This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Oil - production(bbl/day) 	 Date of Information
97 	 American Samoa 	               0 	 2001 est.
98 	 Armenia 	               0 	 2001 est.
99 	 Bermuda 	               0 	 2001 est.
100 	 Bahamas, The 	               0 	 2001 est.
101 	 Solomon Islands 	               0 	 2001 est.
102 	 Zimbabwe 	               0 	 2001 est.
103 	 Zambia 	               0 	 2001 est.
104 	 Swaziland 	               0 	 2001 est.
105 	 Samoa 	               0 	 2001 est.
106 	 Western Sahara 	               0 	 2001 est.
107 	 Namibia 	               0 	 2001 est.
108 	 Virgin Islands 	               0 	 2001 est.
109 	 British Virgin Islands 	               0 	 2001 est.
110 	 Saint Vincent and the Grenadines 	               0 	 2001 est.
111 	 Uruguay 	               0 	 2001 est.
112 	 Burkina Faso 	               0 	 2001 est.
113 	 Uganda 	               0 	 2001 est.
114 	 Tanzania 	               0 	 2001 est.
115 	 Sao Tome and Principe 	               0 	 2001 est.
116 	 Togo 	               0 	 2001 est.
117 	 Tonga 	               0 	 2001 est.
118 	 Turks and Caicos Islands 	               0 	 2001 est.
119 	 Switzerland 	               0 	 2001 est.
120 	 Sweden 	               0 	 2001 est.
121 	 Saint Lucia 	               0 	 2001 est.
122 	 Somalia 	               0 	 2001 est.
123 	 Singapore 	               0 	 2001 est.
124 	 Sierra Leone 	               0 	 2001 est.
125 	 Saint Helena 	               0 	 2001 est.
126 	 Senegal 	               0 	 2001 est.
127 	 Seychelles 	               0 	 2001 est.
128 	 Saint Kitts and Nevis 	               0 	 2001 est.
129 	 Saint Pierre and Miquelon 	               0 	 2001 est.
130 	 Rwanda 	               0 	 2001 est.
131 	 Puerto Rico 	               0 	 2001 est.
132 	 Reunion 	               0 	 2001 est.
133 	 Guinea-Bissau 	               0 	 2001 est.
134 	 Latvia 	               0 	 2001 est.
135 	 Lebanon 	               0 	 2001 est.
136 	 Laos 	               0 	 2001 est.
137 	 Korea, South 	               0 	 2001 est.
138 	 Kiribati 	               0 	 2001 est.
139 	 Korea, North 	               0 	 2001 est.
140 	 Kenya 	               0 	 2001 est.
141 	 Jamaica 	               0 	 2001 est.
142 	 Haiti 	               0 	 2001 est.
143 	 Portugal 	               0 	 2001 est.
144 	 Panama 	               0 	 2001 est.
145 	 Paraguay 	               0 	 2001 est.
146 	 Nicaragua 	               0 	 2001 est.
147 	 Netherlands Antilles 	               0 	 2001 est.
148 	 Nauru 	               0 	 2001 est.
149 	 Nepal 	               0 	 2001 est.
150 	 Mozambique 	               0 	 2001 est.
151 	 Maldives 	               0 	 2001 est.
152 	 Malta 	               0 	 2001 est.
153 	 Mauritania 	               0 	 2001 est.
154 	 Mauritius 	               0 	 2001 est.
155 	 Mali 	               0 	 2001 est.
156 	 Macedonia, The Former Yugoslav Republic of 	               0 	 2001 est.
157 	 Malawi 	               0 	 2001 est.
158 	 Montserrat 	               0 	 2001 est.
159 	 Vanuatu 	               0 	 2001 est.
160 	 Niger 	               0 	 2001 est.
161 	 Niue 	               0 	 2001 est.
162 	 New Caledonia 	               0 	 2001 est.
163 	 Mongolia 	               0 	 2001 est.
164 	 Moldova 	               0 	 2001 est.
165 	 Macau 	               0 	 2001 est.
166 	 Martinique 	               0 	 2001 est.
167 	 Madagascar 	               0 	 2001 est.
168 	 Luxembourg 	               0 	 2001 est.
169 	 Lesotho 	               0 	 2001 est.
170 	 Liberia 	               0 	 2001 est.
171 	 Guyana 	               0 	 2001 est.
172 	 Guinea 	               0 	 2001 est.
173 	 Guam 	               0 	 2001 est.
174 	 Guadeloupe 	               0 	 2001 est.
175 	 Greenland 	               0 	 2001 est.
176 	 Grenada 	               0 	 2001 est.
177 	 Gibraltar 	               0 	 2001 est.
178 	 Gambia, The 	               0 	 2001 est.
179 	 Iceland 	               0 	 2001 est.
180 	 Honduras 	               0 	 2001 est.
181 	 Hong Kong 	               0 	 2001 est.
182 	 French Polynesia 	               0 	 2001 est.
183 	 Faroe Islands 	               0 	 2001 est.
184 	 Falkland Islands (Islas Malvinas) 	               0 	 2001 est.
185 	 Fiji 	               0 	 2001 est.
186 	 Finland 	               0 	 2001 est.
187 	 French Guiana 	               0 	 2001 est.
188 	 Ethiopia 	               0 	 2001 est.
189 	 El Salvador 	               0 	 2001 est.
190 	 Eritrea 	               0 	 2001 est.
191 	 Ireland 	               0 	 2001 est.
192 	 Dominican Republic 	               0 	 2001 est.
193 	 Dominica 	               0 	 2001 est.
194 	 Djibouti 	               0 	 2001 est.
195 	 Cyprus 	               0 	 2001 est.
196 	 Cook Islands 	               0 	 2001 est.
197 	 Cape Verde 	               0 	 2001 est.
198 	 Central African Republic 	               0 	 2001 est.
199 	 Costa Rica 	               0 	 2001 est.
200 	 Comoros 	               0 	 2001 est.
201 	 Cayman Islands 	               0 	 2001 est.
202 	 Sri Lanka 	               0 	 2001 est.
203 	 Chad 	               0 	 2001 est.
204 	 Cambodia 	               0 	 2001 est.
205 	 Burundi 	               0 	 2001 est.
206 	 Bhutan 	               0 	 2001 est.
207 	 Bosnia and Herzegovina 	               0 	 2001 est.
208 	 Belize 	               0 	 2001 est.
209 	 Belgium 	               0 	 2001 est.
210 	 Botswana 	               0 	 2001 est.
211 	 Antigua and Barbuda 	               0 	 2001 est.
212 	 Afghanistan 	               0 	 2001 est.

 This file was last updated on 18 December, 2003
