This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 GDP - real growth rate(%) 	 Date of Information
1 	 Turkmenistan 	           21.10 	 2002 est.
2 	 Equatorial Guinea 	           20.00 	 2002 est.
3 	 East Timor 	           18.00 	 2001 est.
4 	 Man, Isle of 	           13.50 	 
5 	 Armenia 	           12.90 	 2002 est.
6 	 Liechtenstein 	           11.00 	 1999 est.
7 	 Azerbaijan 	           10.60 	 2002 est.
8 	 Faroe Islands 	           10.00 	 2001 est.
9 	 Rwanda 	            9.70 	 2002 est.
10 	 Kazakhstan 	            9.50 	 2002 est.
11 	 Macau 	            9.50 	 2002 est.
12 	 Angola 	            9.40 	 2002 est.
13 	 Tajikistan 	            9.10 	 2002 est.
14 	 China 	            8.00 	 2002 est.
15 	 Turkey 	            7.80 	 2002 est.
16 	 Bhutan 	            7.70 	 2002 est.
17 	 Mozambique 	            7.70 	 2002 est.
18 	 Iran 	            7.60 	 2002 est.
19 	 San Marino 	            7.50 	 2001 est.
20 	 Chad 	            7.40 	 2002 est.
21 	 Albania 	            7.30 	 2002 est.
22 	 Cook Islands 	            7.10 	 2001 est.
23 	 Vietnam 	            7.00 	 2002 est.
24 	 Ireland 	            6.90 	 2002 est.
25 	 Lithuania 	            6.70 	 2002 est.
26 	 Sierra Leone 	            6.60 	 2002 est.
27 	 Moldova 	            6.50 	 2002 est.
28 	 Korea, South 	            6.30 	 2002 est.
29 	 Latvia 	            6.10 	 2002 est.
30 	 Tanzania 	            6.10 	 2002 est.
31 	 Benin 	            6.00 	 2002 est.
32 	 Estonia 	            6.00 	 2002 est.
33 	 Gambia, The 	            5.70 	 2001 est.
34 	 Guernsey 	            5.70 	 1999 est.
35 	 Laos 	            5.70 	 2002 est.
36 	 Uganda 	            5.50 	 2002 est.
37 	 Georgia 	            5.40 	 2002 est.
38 	 Burma 	            5.30 	 2002 est.
39 	 Kyrgyzstan 	            5.30 	 2002 est.
40 	 Peru 	            5.30 	 2002 est.
41 	 Thailand 	            5.30 	 2002 est.
42 	 Croatia 	            5.20 	 2002 est.
43 	 Sudan 	            5.10 	 2002 est.
44 	 Samoa 	            5.00 	 2002 est.
45 	 Jordan 	            4.90 	 2002 est.
46 	 Turks and Caicos Islands 	            4.90 	 2000 est.
47 	 Romania 	            4.90 	 2002 est.
48 	 Bangladesh 	            4.80 	 2002 est.
49 	 Bulgaria 	            4.80 	 2002 est.
50 	 Ukraine 	            4.80 	 2002 est.
51 	 Tunisia 	            4.80 	 2002 est.
52 	 Belarus 	            4.70 	 2002 est.
53 	 Fiji 	            4.60 	 2002 est.
54 	 Burkina Faso 	            4.60 	 2002 est.
55 	 Qatar 	            4.60 	 2002 est.
56 	 Morocco 	            4.60 	 2002 est.
57 	 Burundi 	            4.50 	 2002 est.
58 	 Cambodia 	            4.50 	 2002 est.
59 	 Mali 	            4.50 	 2002 est.
60 	 Ghana 	            4.50 	 2002 est.
61 	 Slovakia 	            4.40 	 2002 est.
62 	 Philippines 	            4.40 	 2002 est.
63 	 Pakistan 	            4.40 	 FY01/02 est.
64 	 India 	            4.30 	 2002 est.
65 	 Russia 	            4.30 	 2002 est.
66 	 Botswana 	            4.20 	 2002 est.
67 	 Uzbekistan 	            4.20 	 2002 est.
68 	 Dominican Republic 	            4.10 	 2002 est.
69 	 Malaysia 	            4.10 	 2002 est.
70 	 Yemen 	            4.10 	 2002 est.
71 	 Cameroon 	            4.00 	 2002 est.
72 	 Greece 	            4.00 	 2002 est.
73 	 Serbia and Montenegro 	            4.00 	 2002 est.
74 	 Sao Tome and Principe 	            4.00 	 2002 est.
75 	 Lesotho 	            4.00 	 2002 est.
76 	 French Polynesia 	            4.00 	 2001 est.
77 	 Cape Verde 	            4.00 	 2002 est.
78 	 Mongolia 	            3.90 	 2002 est.
79 	 Andorra 	            3.80 	 2000 est.
80 	 Belize 	            3.70 	 2002 est.
81 	 Indonesia 	            3.70 	 2002 est.
82 	 Guinea 	            3.70 	 2002 est.
83 	 Australia 	            3.60 	 2002 est.
84 	 Syria 	            3.60 	 2002 est.
85 	 Congo, Democratic Republic of the 	            3.50 	 2002 est.
86 	 Djibouti 	            3.50 	 2002 est.
87 	 Somalia 	            3.50 	 2002 est.
88 	 Taiwan 	            3.50 	 2002 est.
89 	 Ecuador 	            3.40 	 2002 est.
90 	 Algeria 	            3.30 	 2002 est.
91 	 Saint Lucia 	            3.30 	 2002 est.
92 	 Canada 	            3.30 	 2002 est.
93 	 Hungary 	            3.30 	 2002 est.
94 	 Mauritania 	            3.30 	 2002 est.
95 	 New Zealand 	            3.30 	 2002 est.
96 	 Sri Lanka 	            3.20 	 2002 est.
97 	 Egypt 	            3.20 	 2002 est.
98 	 Slovenia 	            3.20 	 2002 est.
99 	 Trinidad and Tobago 	            3.20 	 2002 est.
100 	 Nigeria 	            3.20 	 2002 est.
101 	 Antigua and Barbuda 	            3.00 	 2002 est.
102 	 Tuvalu 	            3.00 	 2000 est.
103 	 Tonga 	            3.00 	 2001 est.
104 	 South Africa 	            3.00 	 2002 est.
105 	 Ethiopia 	            3.00 	 2002 est.
106 	 Brunei 	            3.00 	 2002 est.
107 	 Bahrain 	            2.90 	 2002 est.
108 	 Togo 	            2.90 	 2002 est.
109 	 Niger 	            2.90 	 2002 est.
110 	 Anguilla 	            2.80 	 2001 est.
111 	 Costa Rica 	            2.80 	 2002 est.
112 	 Bolivia 	            2.80 	 2002 est.
113 	 World 	            2.70 	 2001 est.
114 	 Cyprus 	            2.60 	 2002 est.
115 	 Grenada 	            2.50 	 2002 est.
116 	 Reunion 	            2.50 	 2002 est.
117 	 Honduras 	            2.50 	 2002 est.
118 	 Senegal 	            2.40 	 2002 est.
119 	 United States 	            2.40 	 2002 est.
120 	 Bosnia and Herzegovina 	            2.30 	 2002 est.
121 	 Hong Kong 	            2.30 	 2002 est.
122 	 Mauritius 	            2.30 	 2002 est.
