This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Unemployment rate(%) 	 Date of Information
1 	 Kiribati 	     70.00 	 1992 est.
2 	 Zimbabwe 	     70.00 	 2002 est.
3 	 Cocos (Keeling) Islands 	     60.00 	 2000 est.
4 	 Gaza Strip 	     50.00 	 2002 est.
5 	 Zambia 	     50.00 	 2000 est.
6 	 West Bank 	     50.00 	 2002 est.
7 	 East Timor 	     50.00 	 
8 	 Senegal 	     48.00 	 2001 est.
9 	 Nepal 	     47.00 	 2001 est.
10 	 Lesotho 	     45.00 	 2002
11 	 Botswana 	     40.00 	 2001 est.
12 	 Bangladesh 	     40.00 	 2002 est.
13 	 Bosnia and Herzegovina 	     40.00 	 2002 est.
14 	 Kenya 	     40.00 	 2001 est.
15 	 Tajikistan 	     40.00 	 2002 est.
16 	 Mayotte 	     38.00 	 1999
17 	 Macedonia, The Former Yugoslav Republic of 	     37.00 	 2002 est.
18 	 South Africa 	     37.00 	 2001 est.
19 	 Reunion 	     36.00 	 1999 est.
20 	 Namibia 	     35.00 	 1998
21 	 Swaziland 	     34.00 	 2000 est.
22 	 Serbia and Montenegro 	     32.00 	 2002 est.
23 	 Algeria 	     31.00 	 2002 est.
24 	 Marshall Islands 	     30.90 	 1999 est.
25 	 Cameroon 	     30.00 	 2001 est.
26 	 Yemen 	     30.00 	 1995 est.
27 	 World 	     30.00 	 
28 	 Equatorial Guinea 	     30.00 	 1998 est.
29 	 Libya 	     30.00 	 2001
30 	 Honduras 	     28.00 	 2002 est.
31 	 Nigeria 	     28.00 	 1992 est.
32 	 Guadeloupe 	     27.80 	 1998
33 	 Martinique 	     27.20 	 1998
34 	 Saudi Arabia 	     25.00 	 2002
35 	 Vietnam 	     25.00 	 1995 est.
36 	 Nicaragua 	     24.00 	 2002 est.
37 	 Dominica 	     23.00 	 2000 est.
38 	 French Guiana 	     22.00 	 2001
39 	 Saint Vincent and the Grenadines 	     22.00 	 1997 est.
40 	 Croatia 	     21.70 	 2002 est.
41 	 Argentina 	     21.50 	 37377
42 	 Cape Verde 	     21.00 	 2000 est.
43 	 Mauritania 	     21.00 	 1999 est.
44 	 Mozambique 	     21.00 	 1997 est.
45 	 Gabon 	     21.00 	 1997 est.
46 	 Armenia 	     20.00 	 2001 est.
47 	 Syria 	     20.00 	 2002 est.
48 	 Mongolia 	     20.00 	 2000
49 	 Ghana 	     20.00 	 1997 est.
50 	 Comoros 	     20.00 	 1996 est.
51 	 Uruguay 	     19.40 	 2002
52 	 Morocco 	     19.00 	 2002 est.
53 	 New Caledonia 	     19.00 	 1996
54 	 Sudan 	     18.70 	 2002 est.
55 	 Paraguay 	     18.20 	 2002 est.
56 	 Poland 	     18.10 	 2002
57 	 Bulgaria 	     18.00 	 2002 est.
58 	 Lebanon 	     18.00 	 1997 est.
59 	 Colombia 	     17.40 	 2002 est.
60 	 Slovakia 	     17.20 	 2002 est.
61 	 Albania 	     17.00 	 2001 est.
