This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Electricity - consumption(kWh) 	 Date of Information
1 	 World 	  14,280,000,000,000 	 2002 est.
2 	 United States 	   3,660,000,000,000 	 2002
3 	 European Union 	   2,661,000,000,000 	 2002 est.
4 	 China 	   1,630,000,000,000 	 2003
5 	 Japan 	    971,000,000,000 	 2002
6 	 Russia 	    894,300,000,000 	 2003
7 	 Germany 	    519,500,000,000 	 2003
8 	 India 	    510,100,000,000 	 2002
9 	 Canada 	    487,300,000,000 	 2002
10 	 France 	    414,700,000,000 	 2002
11 	 Brazil 	    351,900,000,000 	 2002
12 	 United Kingdom 	    337,400,000,000 	 2003
13 	 Italy 	    293,900,000,000 	 2002
14 	 Korea, South 	    293,600,000,000 	 2003
15 	 Spain 	    218,400,000,000 	 2002
16 	 Australia 	    195,600,000,000 	 2002
17 	 Mexico 	    189,700,000,000 	 2002
18 	 South Africa 	    189,400,000,000 	 2002
19 	 Taiwan 	    147,400,000,000 	 2002
20 	 Sweden 	    138,100,000,000 	 2002
21 	 Ukraine 	    132,000,000,000 	 2003
22 	 Saudi Arabia 	    128,500,000,000 	 2002
23 	 Iran 	    119,900,000,000 	 2002
24 	 Turkey 	    117,900,000,000 	 2002
25 	 Poland 	    117,400,000,000 	 2002
26 	 Norway 	    107,400,000,000 	 2002
27 	 Thailand 	    106,100,000,000 	 2003
28 	 Netherlands 	    100,700,000,000 	 2002
29 	 Indonesia 	     92,350,000,000 	 2003
30 	 Venezuela 	     89,300,000,000 	 2003
31 	 Argentina 	     81,650,000,000 	 2002
32 	 Belgium 	     78,820,000,000 	 2002
33 	 Finland 	     78,580,000,000 	 2002
34 	 Egypt 	     75,580,000,000 	 2002
35 	 Malaysia 	     68,400,000,000 	 2002
36 	 Kazakhstan 	     62,210,000,000 	 203
37 	 Romania 	     57,500,000,000 	 2003
38 	 Czech Republic 	     55,330,000,000 	 2002
39 	 Austria 	     55,090,000,000 	 2002
40 	 Switzerland 	     54,530,000,000 	 2002
41 	 Pakistan 	     52,660,000,000 	 2003
42 	 Greece 	     47,420,000,000 	 2002
43 	 Uzbekistan 	     46,660,000,000 	 2002
44 	 Philippines 	     46,050,000,000 	 2003
45 	 Portugal 	     42,150,000,000 	 2002
46 	 Chile 	     41,800,000,000 	 2002
47 	 Colombia 	     41,140,000,000 	 2002
48 	 Hong Kong 	     38,450,000,000 	 2003
49 	 Israel 	     38,300,000,000 	 2002
50 	 United Arab Emirates 	     36,510,000,000 	 2002
51 	 Hungary 	     35,990,000,000 	 2002
52 	 New Zealand 	     35,710,000,000 	 2002
53 	 Belarus 	     34,300,000,000 	 2004
54 	 Iraq 	     33,700,000,000 	 2004
55 	 Bulgaria 	     32,710,000,000 	 2002
56 	 Serbia and Montenegro 	     32,330,000,000 	 2002
57 	 Vietnam 	     32,060,000,000 	 2002
58 	 Singapore 	     32,000,000,000 	 2003
59 	 Denmark 	     31,630,000,000 	 2002
60 	 Korea, North 	     31,260,000,000 	 2002
61 	 Kuwait 	     30,160,000,000 	 2002
