This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Labor force 	 Date of Information
1 	 China 	       760,800,000 	 2003
2 	 India 	       482,200,000 	 2004 est.
3 	 European Union 	       215,000,000 	 various
4 	 United States 	       147,400,000 	 2004 est.
5 	 Indonesia 	       111,500,000 	 2004 est.
6 	 Brazil 	        89,000,000 	 2004 est.
7 	 Russia 	        71,830,000 	 2004 est.
8 	 Japan 	        66,970,000 	 2004 est.
9 	 Bangladesh 	        65,490,000 	 2004 est.
10 	 Nigeria 	        55,670,000 	 2004 est.
11 	 Pakistan 	        45,430,000 	 2004 est.
12 	 Vietnam 	        42,980,000 	 2004 est.
13 	 Germany 	        42,630,000 	 2004 est.
14 	 Thailand 	        36,430,000 	 November 2004 est.
15 	 Philippines 	        35,860,000 	 2004 est.
16 	 Mexico 	        34,730,000 	 2004 est.
17 	 United Kingdom 	        29,780,000 	 2004 est.
18 	 France 	        27,700,000 	 2004 est.
19 	 Burma 	        27,010,000 	 2004 est.
20 	 Turkey 	        25,300,000 	 2003 est.
21 	 Italy 	        24,270,000 	 2004 est.
22 	 Iran 	        23,000,000 	 2004 est.
23 	 Korea, South 	        22,900,000 	 2004 est.
24 	 Ukraine 	        21,110,000 	 2004 est.
25 	 Egypt 	        20,710,000 	 2004 est.
26 	 Colombia 	        20,700,000 	 2004 est.
27 	 Spain 	        19,330,000 	 2004 est.
28 	 Tanzania 	        19,000,000 	 2004 est.
29 	 Canada 	        17,370,000 	 2004
30 	 Poland 	        17,020,000 	 2004 est.
31 	 South Africa 	        16,630,000 	 2004 est.
32 	 Argentina 	        15,040,000 	 2004 est.
33 	 Uzbekistan 	        14,640,000 	 2004 est.
34 	 Congo, Democratic Republic of the 	        14,510,000 	 1993 est.
35 	 Uganda 	        12,410,000 	 2004 est.
36 	 Venezuela 	        12,250,000 	 2004 est.
37 	 Afghanistan 	        11,800,000 	 2001 est.
38 	 Kenya 	        11,400,000 	 2004 est.
39 	 Morocco 	        11,020,000 	 2004 est.
40 	 Peru 	        11,000,000 	 2004 est.
41 	 Sudan 	        11,000,000 	 1996 est.
42 	 Malaysia 	        10,490,000 	 2004 est.
43 	 Australia 	        10,350,000 	 2004 est.
44 	 Ghana 	        10,240,000 	 2004 est.
45 	 Taiwan 	        10,220,000 	 2004 est.
46 	 Nepal 	        10,000,000 	 1996 est.
47 	 Algeria 	         9,910,000 	 2004 est.
48 	 Romania 	         9,660,000 	 2004 est.
49 	 Korea, North 	         9,600,000 	 
50 	 Mozambique 	         9,200,000 	 2000 est.
51 	 Kazakhstan 	         7,950,000 	 2004 est.
52 	 Netherlands 	         7,530,000 	 2004 est.
53 	 Madagascar 	         7,300,000 	 2000
54 	 Sri Lanka 	         7,260,000 	 2004 est.
55 	 Cambodia 	         7,000,000 	 2003 est.
56 	 Cote d'Ivoire 	         6,700,000 	 2004 est.
57 	 Iraq 	         6,700,000 	 2004 est.
58 	 Cameroon 	         6,680,000 	 2004 est.
59 	 Saudi Arabia 	         6,620,000 	 2004 est.
60 	 Chile 	         6,200,000 	 2004 est.
61 	 Yemen 	         5,980,000 	 2004 est.
62 	 Portugal 	         5,480,000 	 2004 est.
63 	 Angola 	         5,410,000 	 2004 est.
64 	 Czech Republic 	         5,250,000 	 2004 est.
65 	 Syria 	         5,120,000 	 2004 est.
66 	 Azerbaijan 	         5,090,000 	 2004 est.
67 	 Burkina Faso 	         5,000,000 	 2003
68 	 Belgium 	         4,750,000 	 2004 est.
69 	 Senegal 	         4,650,000 	 2004 est.
70 	 Zambia 	         4,630,000 	 2004 est.
71 	 Rwanda 	         4,600,000 	 2000
72 	 Cuba 	         4,550,000 	 2004 est.
73 	 Ecuador 	         4,530,000 	 2004 est.
74 	 Malawi 	         4,500,000 	 2001 est.
75 	 Sweden 	         4,460,000 	 2004 est.
