This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 GDP - per capita 	 Date of Information
1 	 Luxembourg 	 $            58,900 	 2004 est.
2 	 United States 	 $            40,100 	 2004 est.
3 	 Guernsey 	 $            40,000 	 2003 est.
4 	 Norway 	 $            40,000 	 2004 est.
5 	 Jersey 	 $            40,000 	 2003 est.
6 	 British Virgin Islands 	 $            38,500 	 2004 est.
7 	 Bermuda 	 $            36,000 	 2003 est.
8 	 San Marino 	 $            34,600 	 2001 est.
9 	 Hong Kong 	 $            34,200 	 2004 est.
10 	 Switzerland 	 $            33,800 	 2004 est.
11 	 Cayman Islands 	 $            32,300 	 2004 est.
12 	 Denmark 	 $            32,200 	 2004 est.
13 	 Ireland 	 $            31,900 	 2004 est.
14 	 Iceland 	 $            31,900 	 2004 est.
15 	 Canada 	 $            31,500 	 2004 est.
16 	 Austria 	 $            31,300 	 2004 est.
17 	 Australia 	 $            30,700 	 2004 est.
18 	 Belgium 	 $            30,600 	 2004 est.
19 	 United Kingdom 	 $            29,600 	 2004 est.
20 	 Netherlands 	 $            29,500 	 2004 est.
21 	 Japan 	 $            29,400 	 2004 est.
22 	 Finland 	 $            29,000 	 2004 est.
23 	 France 	 $            28,700 	 2004 est.
24 	 Germany 	 $            28,700 	 2004 est.
25 	 Man, Isle of 	 $            28,500 	 2003 est.
26 	 Sweden 	 $            28,400 	 2004 est.
27 	 Aruba 	 $            28,000 	 2002 est.
28 	 Gibraltar 	 $            27,900 	 2000 est.
29 	 Singapore 	 $            27,800 	 2004 est.
30 	 Italy 	 $            27,700 	 2004 est.
31 	 Monaco 	 $            27,000 	 2000 est.
32 	 European Union 	 $            26,900 	 2004 est.
33 	 Andorra 	 $            26,800 	 2003 est.
34 	 Taiwan 	 $            25,300 	 2004 est.
35 	 United Arab Emirates 	 $            25,200 	 2004 est.
36 	 Falkland Islands (Islas Malvinas) 	 $            25,000 	 2002 est.
37 	 Liechtenstein 	 $            25,000 	 1999 est.
38 	 Brunei 	 $            23,600 	 2003 est.
39 	 Spain 	 $            23,300 	 2004 est.
40 	 New Zealand 	 $            23,200 	 2004 est.
41 	 Qatar 	 $            23,200 	 2004 est.
42 	 Faroe Islands 	 $            22,000 	 2001 est.
43 	 Greece 	 $            21,300 	 2004 est.
44 	 Kuwait 	 $            21,300 	 2004 est.
45 	 Guam 	 $            21,000 	 2000 est.
46 	 Israel 	 $            20,800 	 2004 est.
47 	 Cyprus 	 $            20,300 	 2004 est.
48 	 Greenland 	 $            20,000 	 2001 est.
49 	 Slovenia 	 $            19,600 	 2004 est.
50 	 Macau 	 $            19,400 	 2003
51 	 Bahrain 	 $            19,200 	 2004 est.
52 	 Korea, South 	 $            19,200 	 2004 est.
53 	 Malta 	 $            18,200 	 2004 est.
54 	 Portugal 	 $            17,900 	 2004 est.
55 	 Bahamas, The 	 $            17,700 	 2004 est.
56 	 Puerto Rico 	 $            17,700 	 2004 est.
57 	 French Polynesia 	 $            17,500 	 2003 est.
58 	 Virgin Islands 	 $            17,200 	 2002 est.
59 	 Czech Republic 	 $            16,800 	 2004 est.
60 	 Barbados 	 $            16,400 	 2004 est.
61 	 New Caledonia 	 $            15,000 	 2003 est.
62 	 Hungary 	 $            14,900 	 2004 est.
63 	 Slovakia 	 $            14,500 	 2004 est.
64 	 Uruguay 	 $            14,500 	 2004 est.
65 	 Martinique 	 $            14,400 	 2003 est.
66 	 Estonia 	 $            14,300 	 2004 est.
67 	 Oman 	 $            13,100 	 2004 est.
68 	 Mauritius 	 $            12,800 	 2004 est.
69 	 Northern Mariana Islands 	 $            12,500 	 2000 est.
70 	 Lithuania 	 $            12,500 	 2004 est.
71 	 Argentina 	 $            12,400 	 2004 est.
72 	 Poland 	 $            12,000 	 2004 est.
73 	 Saudi Arabia 	 $            12,000 	 2004 est.
74 	 Latvia 	 $            11,500 	 2004 est.
75 	 Turks and Caicos Islands 	 $            11,500 	 2002 est.
76 	 Netherlands Antilles 	 $            11,400 	 2003 est.
77 	 Croatia 	 $            11,200 	 2004 est.
78 	 South Africa 	 $            11,100 	 2004 est.
79 	 Antigua and Barbuda 	 $            11,000 	 2002 est.
80 	 Chile 	 $            10,700 	 2004 est.
81 	 Trinidad and Tobago 	 $            10,500 	 2004 est.
82 	 Russia 	 $             9,800 	 2004 est.
83 	 Malaysia 	 $             9,700 	 2004 est.
84 	 Costa Rica 	 $             9,600 	 2004 est.
85 	 Mexico 	 $             9,600 	 2004 est.
86 	 Botswana 	 $             9,200 	 2004 est.
87 	 Palau 	 $             9,000 	 2001 est.
88 	 Saint Kitts and Nevis 	 $             8,800 	 2002 est.
89 	 World 	 $             8,800 	 2004 est.
90 	 French Guiana 	 $             8,300 	 2003 est.
91 	 Bulgaria 	 $             8,200 	 2004 est.
92 	 Brazil 	 $             8,100 	 2004 est.
93 	 Thailand 	 $             8,100 	 2004 est.
94 	 American Samoa 	 $             8,000 	 2000 est.
95 	 Guadeloupe 	 $             7,900 	 2003 est.
96 	 Kazakhstan 	 $             7,800 	 2004 est.
97 	 Seychelles 	 $             7,800 	 2002 est.
98 	 Iran 	 $             7,700 	 2004 est.
99 	 Romania 	 $             7,700 	 2004 est.
100 	 Anguilla 	 $             7,500 	 2002 est.
101 	 Turkey 	 $             7,400 	 2004 est.
102 	 Namibia 	 $             7,300 	 2004 est.
103 	 Cyprus 	 $             7,135 	 2004 est.
104 	 Macedonia 	 $             7,100 	 2004 est.
105 	 Tunisia 	 $             7,100 	 2004 est.
106 	 Saint Pierre and Miquelon 	 $             7,000 	 2001 est.
107 	 Panama 	 $             6,900 	 2004 est.
108 	 Belarus 	 $             6,800 	 2004 est.
109 	 Libya 	 $             6,700 	 2004 est.
110 	 Algeria 	 $             6,600 	 2004 est.
111 	 Colombia 	 $             6,600 	 2004 est.
112 	 Belize 	 $             6,500 	 2004 est.
