This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Inflation rate (consumer prices)(%) 	 Date of Information
128 	 Iceland 	      4.00 	 2004 est.
129 	 Turks and Caicos Islands 	      4.00 	 1995
130 	 Samoa 	      4.00 	 2001 est.
131 	 East Timor 	      4.00 	 2003 est.
132 	 Guinea-Bissau 	      4.00 	 2002 est.
133 	 China 	      4.10 	 2004 est.
134 	 Tunisia 	      4.10 	 2004 est.
135 	 India 	      4.20 	 2004 est.
136 	 Namibia 	      4.20 	 2004 est.
137 	 Papua New Guinea 	      4.20 	 2004 est.
138 	 Andorra 	      4.30 	 2000
139 	 Guyana 	      4.50 	 2004 est.
140 	 Mali 	      4.50 	 2002 est.
141 	 South Africa 	      4.50 	 2004 est.
142 	 Mauritius 	      4.50 	 2004 est.
143 	 Azerbaijan 	      4.60 	 2004 est.
144 	 Pakistan 	      4.80 	 FY03/04 est.
145 	 Bolivia 	      4.90 	 2004 est.
146 	 Guernsey 	      4.90 	 2004 est.
147 	 Seychelles 	      5.00 	 2004 est.
148 	 Tuvalu 	      5.00 	 2000 est.
149 	 Faroe Islands 	      5.10 	 1999
150 	 Paraguay 	      5.10 	 2004 est.
151 	 Jersey 	      5.30 	 2004
152 	 Lesotho 	      5.30 	 2004 est.
153 	 El Salvador 	      5.40 	 2004 est.
154 	 Swaziland 	      5.40 	 2004 est.
155 	 Tanzania 	      5.40 	 2004 est.
156 	 Mexico 	      5.40 	 2004 est.
157 	 Georgia 	      5.50 	 2004 est.
158 	 Philippines 	      5.50 	 2004 est.
159 	 Sri Lanka 	      5.80 	 2004 est.
160 	 Colombia 	      5.90 	 2004 est.
161 	 Bangladesh 	      6.00 	 2004 est.
162 	 Latvia 	      6.00 	 2004 est.
163 	 Argentina 	      6.10 	 2004 est.
164 	 Indonesia 	      6.10 	 2004 est.
165 	 Bulgaria 	      6.10 	 2004 est.
166 	 Puerto Rico 	      6.50 	 2003 est.
167 	 Kazakhstan 	      6.90 	 2004 est.
168 	 Botswana 	      7.00 	 2004 est.
169 	 Gambia, The 	      7.00 	 2004 est.
170 	 Rwanda 	      7.00 	 2004 est.
171 	 Mauritania 	      7.00 	 2003 est.
172 	 Hungary 	      7.00 	 2004 est.
173 	 Honduras 	      7.00 	 2004 est.
174 	 Guatemala 	      7.20 	 2004 est.
175 	 Slovakia 	      7.50 	 2004 est.
176 	 Madagascar 	      7.50 	 2004 est.
177 	 Brazil 	      7.60 	 2004 est.
178 	 Uruguay 	      7.60 	 2004 est.
179 	 Chad 	      8.00 	 2004 est.
180 	 Tajikistan 	      8.00 	 2004 est.
181 	 Burundi 	      8.50 	 2004 est.
182 	 Equatorial Guinea 	      8.50 	 2004 est.
183 	 Serbia and Montenegro 	      8.80 	 2004 est.
184 	 Kenya 	      9.00 	 2004 est.
185 	 Sudan 	      9.00 	 2004 est.
186 	 Turkmenistan 	      9.00 	 2004 est.
187 	 Nicaragua 	      9.30 	 2004 est.
188 	 Turkey 	      9.30 	 2004 est.
189 	 Egypt 	      9.50 	 2004 est.
190 	 Vietnam 	      9.50 	 2004 est.
191 	 Romania 	      9.60 	 2004 est.
192 	 Solomon Islands 	     10.00 	 2003 est.
193 	 Eritrea 	     10.00 	 2004 est.
194 	 Afghanistan 	     10.30 	 2003
195 	 Tonga 	     10.30 	 2002 est.
196 	 Mongolia 	     11.00 	 2004 est.
197 	 Costa Rica 	     11.50 	 2004 est.
198 	 Moldova 	     11.50 	 2004 est.
199 	 Russia 	     11.50 	 2004 est.
200 	 Malawi 	     12.00 	 2004 est.
201 	 Ukraine 	     12.00 	 2004 est.
202 	 Yemen 	     12.20 	 2004 est.
203 	 Laos 	     12.30 	 2004 est.
204 	 Jamaica 	     12.40 	 2004 est.
205 	 Cyprus 	     12.60 	 2003 est.
206 	 Mozambique 	     12.80 	 2004 est.
207 	 Ghana 	     13.00 	 2004 est.
208 	 Congo, Democratic Republic of the 	     14.00 	 2003 est.
209 	 Sao Tome and Principe 	     14.00 	 2004 est.
210 	 Liberia 	     15.00 	 2003 est.
211 	 Iran 	     15.50 	 2004 est.
212 	 Nigeria 	     16.50 	 2004 est.
213 	 Burma 	     17.20 	 2004 est.
214 	 Belarus 	     17.40 	 2004 est.
215 	 Guinea 	     18.00 	 2004 est.
216 	 Zambia 	     18.30 	 2004 est.
217 	 Haiti 	     22.00 	 2004 est.
218 	 Venezuela 	     22.40 	 2004 est.
219 	 Suriname 	     23.00 	 2003 est.
220 	 Iraq 	     25.40 	 2004 est.
221 	 Angola 	     43.80 	 2004 est.
222 	 Dominican Republic 	     55.00 	 2004 est.
223 	 Zimbabwe 	    133.00 	 2004 est.

 This file was last updated on 20 October, 2005
