This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Imports 	 Date of Information
1 	 World 	 $    8,754,000,000,000 	 2003 est.
2 	 United States 	 $    1,476,000,000,000 	 2004 est.
3 	 European Union 	 $    1,123,000,000,000 	 2003
4 	 Germany 	 $     716,700,000,000 	 2004 est.
5 	 China 	 $     552,400,000,000 	 2004 est.
6 	 United Kingdom 	 $     439,400,000,000 	 2004 est.
7 	 France 	 $     419,700,000,000 	 2004 est.
8 	 Japan 	 $     401,800,000,000 	 2004 est.
9 	 Italy 	 $     329,300,000,000 	 2004 est.
10 	 Hong Kong 	 $     275,900,000,000 	 2004 est.
11 	 Canada 	 $     256,100,000,000 	 2004 est.
12 	 Netherlands 	 $     252,700,000,000 	 2004 est.
13 	 Belgium 	 $     235,000,000,000 	 2003 est.
14 	 Spain 	 $     222,000,000,000 	 2004 est.
15 	 Korea, South 	 $     214,200,000,000 	 2004 est.
16 	 Mexico 	 $     190,800,000,000 	 2004 est.
17 	 Taiwan 	 $     165,400,000,000 	 2004 est.
18 	 Singapore 	 $     155,200,000,000 	 2004 est.
19 	 Switzerland 	 $     121,100,000,000 	 2004 est.
20 	 Austria 	 $     101,200,000,000 	 2004 est.
21 	 Malaysia 	 $      99,300,000,000 	 2004 est.
22 	 Australia 	 $      98,100,000,000 	 2004 est.
23 	 Sweden 	 $      97,970,000,000 	 2004 est.
24 	 Turkey 	 $      94,500,000,000 	 2004 est.
25 	 Russia 	 $      92,910,000,000 	 2004 est.
26 	 India 	 $      89,330,000,000 	 2004 est.
27 	 Poland 	 $      81,610,000,000 	 2004 est.
28 	 Thailand 	 $      80,840,000,000 	 2004 est.
29 	 Czech Republic 	 $      68,190,000,000 	 2004 est.
30 	 Denmark 	 $      63,450,000,000 	 2004 est.
31 	 Brazil 	 $      61,000,000,000 	 2004 est.
32 	 Ireland 	 $      60,650,000,000 	 2004 est.
33 	 Hungary 	 $      58,680,000,000 	 2004 est.
34 	 Greece 	 $      54,280,000,000 	 2004 est.
35 	 Portugal 	 $      52,100,000,000 	 2004 est.
36 	 Norway 	 $      45,960,000,000 	 2004 est.
37 	 United Arab Emirates 	 $      45,660,000,000 	 2004 est.
38 	 Finland 	 $      45,170,000,000 	 2004 est.
39 	 Indonesia 	 $      45,070,000,000 	 2004 est.
40 	 South Africa 	 $      39,420,000,000 	 2004 est.
41 	 Philippines 	 $      37,500,000,000 	 2004 est.
42 	 Israel 	 $      36,840,000,000 	 2004 est.
43 	 Saudi Arabia 	 $      36,210,000,000 	 2004 est.
44 	 Ukraine 	 $      31,450,000,000 	 2004 est.
45 	 Iran 	 $      31,300,000,000 	 2004 est.
46 	 Slovakia 	 $      29,670,000,000 	 2004 est.
47 	 Puerto Rico 	 $      29,100,000,000 	 2001
48 	 Romania 	 $      28,430,000,000 	 2004 est.
49 	 Vietnam 	 $      26,310,000,000 	 2004 est.
50 	 Chile 	 $      22,530,000,000 	 2004 est.
51 	 Argentina 	 $      22,060,000,000 	 2004 est.
52 	 New Zealand 	 $      19,770,000,000 	 2004 est.
53 	 Egypt 	 $      19,210,000,000 	 2004 est.
54 	 Nigeria 	 $      17,140,000,000 	 2004 est.
55 	 Croatia 	 $      16,700,000,000 	 2004 est.
56 	 Luxembourg 	 $      16,300,000,000 	 2003
57 	 Slovenia 	 $      16,070,000,000 	 2004 est.
58 	 Morocco 	 $      15,630,000,000 	 2004 est.
59 	 Colombia 	 $      15,340,000,000 	 2004 est.
60 	 Algeria 	 $      15,250,000,000 	 2004 est.
61 	 Venezuela 	 $      14,980,000,000 	 2004 est.
62 	 Pakistan 	 $      14,010,000,000 	 2004 est.
63 	 Belarus 	 $      13,570,000,000 	 2004 est.
64 	 Kazakhstan 	 $      13,070,000,000 	 2004 est.
65 	 Bulgaria 	 $      12,230,000,000 	 2004 est.
66 	 Tunisia 	 $      11,520,000,000 	 2004 est.
67 	 Kuwait 	 $      11,120,000,000 	 2004 est.
68 	 Lithuania 	 $      11,020,000,000 	 2004 est.
69 	 Bangladesh 	 $      10,030,000,000 	 2004 est.
70 	 Iraq 	 $       9,900,000,000 	 2004 est.
71 	 Peru 	 $       9,600,000,000 	 2004 est.
72 	 Serbia and Montenegro 	 $       9,538,000,000 	 2004 est.
73 	 Lebanon 	 $       8,162,000,000 	 2004 est.
74 	 Dominican Republic 	 $       8,093,000,000 	 2004 est.
75 	 Costa Rica 	 $       7,842,000,000 	 2004 est.
76 	 Guatemala 	 $       7,770,000,000 	 2004 est.
77 	 Ecuador 	 $       7,650,000,000 	 2004 est.
78 	 Jordan 	 $       7,600,000,000 	 2004 est.
79 	 Estonia 	 $       7,318,000,000 	 2004 est.
80 	 Sri Lanka 	 $       7,265,000,000 	 2004 est.
81 	 Libya 	 $       7,224,000,000 	 2004 est.
82 	 Panama 	 $       7,164,000,000 	 2004 est.
83 	 Oman 	 $       6,373,000,000 	 2004 est.
84 	 Qatar 	 $       6,150,000,000 	 2004 est.
85 	 Latvia 	 $       5,970,000,000 	 2004 est.
86 	 El Salvador 	 $       5,968,000,000 	 2004 est.
87 	 Bahrain 	 $       5,870,000,000 	 2004 est.
88 	 Bermuda 	 $       5,523,000,000 	 2002
89 	 Cuba 	 $       5,296,000,000 	 2004 est.
90 	 Cyprus 	 $       5,258,000,000 	 2004 est.
91 	 Bosnia and Herzegovina 	 $       5,200,000,000 	 2004 est.
92 	 Brunei 	 $       5,200,000,000 	 2003
93 	 Liberia 	 $       5,051,000,000 	 2002 est.
94 	 Syria 	 $       5,042,000,000 	 2004 est.
95 	 Angola 	 $       4,896,000,000 	 2004 est.
96 	 Trinidad and Tobago 	 $       4,650,000,000 	 2004 est.
97 	 Kenya 	 $       4,190,000,000 	 2004 est.
98 	 Afghanistan 	 $       3,759,000,000 	 FY03-04
99 	 Yemen 	 $       3,734,000,000 	 2004 est.
100 	 Ghana 	 $       3,699,000,000 	 2004 est.
101 	 Jamaica 	 $       3,624,000,000 	 2004 est.
102 	 Azerbaijan 	 $       3,622,000,000 	 2004 est.
103 	 Sudan 	 $       3,496,000,000 	 2004 est.
104 	 Malta 	 $       3,407,000,000 	 2004 est.
105 	 Cote d'Ivoire 	 $       3,360,000,000 	 2004 est.
106 	 Honduras 	 $       3,332,000,000 	 2004 est.
107 	 Paraguay 	 $       3,330,000,000 	 2004 est.
108 	 Iceland 	 $       3,307,000,000 	 2004 est.
109 	 Cambodia 	 $       3,129,000,000 	 2004 est.
110 	 Turkmenistan 	 $       2,850,000,000 	 2004 est.
111 	 Uzbekistan 	 $       2,820,000,000 	 2004 est.
112 	 Macau 	 $       2,760,000,000 	 2003
113 	 Macedonia 	 $       2,677,000,000 	 2004 est.
114 	 Reunion 	 $       2,500,000,000 	 1997
115 	 Botswana 	 $       2,255,000,000 	 2004 est.
116 	 Mauritius 	 $       2,245,000,000 	 2004 est.
117 	 Netherlands Antilles 	 $       2,233,000,000 	 2002
118 	 Senegal 	 $       2,128,000,000 	 2004 est.
119 	 Ethiopia 	 $       2,104,000,000 	 2004 est.
120 	 Korea, North 	 $       2,100,000,000 	 2003
121 	 Albania 	 $       2,076,000,000 	 2004 est.
122 	 Uruguay 	 $       2,071,000,000 	 2003
123 	 Nicaragua 	 $       2,020,000,000 	 2004 est.
124 	 Martinique 	 $       2,000,000,000 	 1997
125 	 Cameroon 	 $       1,979,000,000 	 2004 est.
126 	 Tanzania 	 $       1,972,000,000 	 2004 est.
127 	 Gaza Strip 	 $       1,900,000,000 	 2002
128 	 Moldova 	 $       1,830,000,000 	 2004 est.
129 	 Georgia 	 $       1,806,000,000 	 2004 est.
130 	 Burma 	 $       1,754,000,000 	 2004 est.
131 	 Gibraltar 	 $       1,743,000,000 	 2002
132 	 Guadeloupe 	 $       1,700,000,000 	 1997
133 	 Bahamas, The 	 $       1,630,000,000 	 2003
134 	 Zimbabwe 	 $       1,599,000,000 	 2004 est.
135 	 Bolivia 	 $       1,595,000,000 	 2004 est.
136 	 Zambia 	 $       1,519,000,000 	 2004 est.
137 	 West Bank 	 $       1,500,000,000 	 2002
138 	 Namibia 	 $       1,473,000,000 	 2004 est.
139 	 Nepal 	 $       1,419,000,000 	 2002 est.
140 	 Papua New Guinea 	 $       1,353,000,000 	 2004 est.
141 	 French Polynesia 	 $       1,341,000,000 	 2002
142 	 Uganda 	 $       1,306,000,000 	 2004 est.
143 	 Armenia 	 $       1,300,000,000 	 2004 est.
144 	 Tajikistan 	 $       1,300,000,000 	 2004 est.
